partid,line,speaker,word
2,18,participant,it's
2,18,participant,i
2,18,participant,don't
2,18,participant,know
2,18,participant,i
2,18,participant,think
2,18,participant,what
2,18,participant,it
2,18,participant,what
2,18,participant,what
2,18,participant,it's
2,18,participant,doing
2,18,participant,as
2,18,participant,you
2,18,participant,asking
2,18,participant,me
2,18,participant,these
2,18,participant,questions
2,18,participant,is
2,18,participant,is
2,18,participant,making
2,18,participant,me
2,18,participant,condense
2,18,participant,more
2,18,participant,and
2,18,participant,more
2,18,participant,what
2,18,participant,it
2,18,participant,is
2,18,participant,that
2,18,participant,is
2,18,participant,specifically
2,18,participant,the
2,18,participant,kong
2,18,participant,part
2,18,participant,of
2,18,participant,the
2,18,participant,movement
2,18,participant,because
2,18,participant,the
2,18,participant,thing
2,18,participant,can
2,18,participant,exist
2,18,participant,in
2,18,participant,many
2,18,participant,er
2,18,participant,movement
2,18,participant,can
2,18,participant,exist
2,18,participant,in
2,18,participant,multiple
2,18,participant,kinds
2,18,participant,of
2,18,participant,situations
2,18,participant,or
2,18,participant,formations
2,18,participant,but
2,18,participant,it's
2,18,participant,only
2,18,participant,a
2,18,participant,kong
2,18,participant,when
2,18,participant,when
2,18,participant,it's
2,18,participant,two
2,18,participant,hands
2,18,participant,and
2,18,participant,your
2,18,participant,feet
2,18,participant,go
2,18,participant,through
2,18,participant,the
2,18,participant,middle
2,18,participant,of
2,18,participant,the
2,18,participant,space
2,18,participant,that
2,18,participant,your
2,18,participant,two
2,18,participant,hands
2,18,participant,created
2,18,participant,otherwise
2,18,participant,it's
2,18,participant,something
2,18,participant,else
2,18,participant,so
2,18,participant,i
2,18,participant,guess
2,18,participant,in
2,18,participant,a
2,18,participant,way
2,18,participant,it
2,18,participant,what
2,18,participant,it
2,18,participant,is
2,18,participant,is
2,18,participant,what
2,18,participant,it
2,18,participant,is
2,18,participant,not
2,18,participant,as
2,18,participant,much
2,18,participant,as
2,18,participant,anything
2,18,participant,so
2,18,participant,if
2,18,participant,your
2,18,participant,legs
2,18,participant,go
2,18,participant,to
2,18,participant,the
2,18,participant,side
2,18,participant,then
2,18,participant,it's
2,18,participant,some
2,18,participant,other
2,18,participant,speed
2,18,participant,vault
2,18,participant,y
2,18,participant,thingy
2,18,participant,so
2,18,participant,yeah
2,18,participant,i
2,18,participant,think
2,18,participant,for
2,18,participant,knowing
2,18,participant,what
2,18,participant,it
2,18,participant,is
2,18,participant,is
2,18,participant,partly
2,18,participant,defined
2,18,participant,by
2,18,participant,what
2,18,participant,it's
2,18,participant,not
2,19,interviewer,so
2,19,interviewer,things
2,19,interviewer,kind
2,19,interviewer,of
2,19,interviewer,around
2,19,interviewer,that
2,19,interviewer,central
2,19,interviewer,part
2,19,interviewer,of
2,19,interviewer,like
2,19,interviewer,the
2,19,interviewer,two
2,19,interviewer,hands
2,19,interviewer,on
2,19,interviewer,the
2,19,interviewer,obstacle
2,19,interviewer,feet
2,19,interviewer,coming
2,19,interviewer,through
2,19,interviewer,can
2,19,interviewer,can
2,19,interviewer,change
2,19,interviewer,and
2,19,interviewer,vary
2,20,participant,yeah
2,20,participant,and
2,20,participant,i
2,20,participant,think
2,20,participant,and
2,20,participant,perhaps
2,20,participant,the
2,20,participant,reason
2,20,participant,that
2,20,participant,it's
2,20,participant,just
2,20,participant,i
2,20,participant,mean
2,20,participant,this
2,20,participant,is
